domain_intent	sentence
$$AskTwTime#AskTWTime	那我要查詢時間
$$Weather#LocalWeather	請問二月六號楊梅的天氣會下雨嗎
$$Stock#AskMarket	股票走勢與
$$Exchange#AExchangeB	台幣三萬元可以換多少日幣
$$Weather#TaiwanRegionWeather	搜尋南部的天氣
$$Railway#Search	台鐵訂票查詢
$$Stock#AskStockTrendReason	股票萬海忘記誰
$$Weather#LocalWeather	新竹內灣星期六的天氣
$$Stock#AskStockTrendReason	股票會跌
$$Railway#Search	明天中壢火車時刻表
$$Movie#AskMovieDetail	移動迷宮的演員有誰
$$UserSayNo#UserSayNo	不是說要去囉
$$Movie#AskMovieDetail	血鑽石的上映日期是什麼時候
$$Stock#AskStocksByCategory	他廣達電腦股價
$$Stock#AskStockTrendReason	本盟會漲的
$$Railway#Search	今天花蓮到台北的車子還有位置嗎
$$Stock#AskStockFund	新竹股市
$$Weather#SpotWeather	今天早上武陵天氣如何
$$Stock#AskStockInfoByName	欣興電子大
$$Movie#AskDateNewMovie	今天的最新電影
$$Movie#AskMovies	明天信義威秀有什麼電影
$$Weather#TaiwanRegionWeather	南部天氣
$$Movie#AskDateHotMovie	哈哈哈告訴我有什麼好看的電影
$$Stock#AskStockHistory	F-東明歷史
$$Freeway#FreewayJunctionRule	現在台北交流道有塞車嗎
$$Movie#AskTheaters	我要看太陽的孩子
$$Movie#AskCityTheaters	基隆的影院在哪裡
$$AskTwTime#AskTWTime	那現在幾點
$$Movie#AskDateHotMovie	打開熱門電影
$$AskTwTime#AskTWTime	查時間
$$Exchange#AExchangeB	八千台幣換人民幣
$$AskTwTime#AskTWTime	請問幾點呢
$$Stock#AskStockInfoBySid	4108懷特生技
$$Railway#Search	明天第一班自強號從哪裡到哪裡
$$UserSayNo#UserSayNo	說我不是什麼
$$Poi#PoiLocationNearBy	順興日式料理在哪裡
$$Stock#AskStockTrendReason	我華邦電會漲嗎的
$$Stock#AskStockFund	三峽行的股票
$$AskCurrentPosition#AskCurrentPosition	我的位置在哪裡
$$Freeway#ExceptionPlaceAsk	台東往台北的路況
$$Stock#AskStockInfoByName	F-欣厚股廣宇股價好好
$$Movie#AskTheaters	電影全面攻佔二在那裡上演
$$Movie#AskMovies	台北信義威秀今天有什麼電影
$$Stock#AskStockFund	中壢的股票
$$Stock#AskStockFund	台南股票版主
$$Movie#AskCityTheaters	附近的戲院
$$Weather#LocalAirPollution	空氣品質新竹縣
$$Exchange#ExchangeRate	印尼幣兌換台幣是多少錢
$$Freeway#FreewayJunctionRule	現在東湖交流道有塞車嗎
$$Freeway#FreewayAtoB	桃園要到彰化要開多遠
$$Movie#AskMovies	信義威秀現在還有演小王子嗎
$$Railway#Search	查詢台鐵台東往高雄車次
$$Freeway#GasolinePrice	今日的油價狀況
$$Movie#AskCityTheaters	電影院在哪裡
$$Gold#AskGold	目前的黃金牌價
$$Weather#LocalWeather	那明天高雄的天氣怎麼樣
$$Stock#AskMarket	特力屋股票
$$AskTwDate#AskTWDate	你想想今天星期幾
$$Stock#CanBuyItByName	可以買力成本來點了
$$Railway#Search	從苗栗到花蓮有沒有太魯閣號
$$Railway#Search	台鐵班次表
$$Stock#AskStockInfoByName	台北F*AS
$$Weather#SpotWeather	台中港天氣
$$UserNeedInstructions#UserNeedInstructions	是在說什麼
$$THSRC#Search	我查詢高鐵票
$$Movie#AskFitMoviesByTheater	美麗華適合小朋友的電影
$$Stock#AskStockTrendReason	點名尚茂股票比較好
$$Stock#AskLimitUpAndDown	那一支股票明天漲停板
$$Railway#Search	查詢八月二十二號到台中火車站的火車
$$Movie#AskMovieDetail	分歧者的演員表
$$Stock#AskStockInfoBySid	2426店面
$$Railway#Search	火車資訊
$$Stock#AskStockTrendReason	還好沒有股票志旭
$$Freeway#Freeway	國道北上塞車路段
$$Freeway#Freeway	中山高路況
$$Movie#AskLevelMoviesByTheater	信義威秀保護級的電影
$$Stock#AskMarket	股票玉山銀行
$$Railway#Search	那幫我查喔台南到嘉義的火車班次
$$Stock#AskStockInfoBySid	5434的那天
$$THSRC#Order	我要兩張台北到高雄站高鐵車票
$$Movie#AskMovieDetail	遊戲王劇場版你推薦嗎
$$Stock#AskMarket	大盤子
$$Freeway#Freeway	中山高速公路現在塞車嗎
$$THSRC#Search	今天高鐵時刻表
$$Railway#Search	請問普悠瑪號有經過那幾站呢
$$Poi#PoiLocationNearBy	三重體育館在哪裡
$$Exchange#AExchangeB	一歐元換台幣多少錢
$$AskCurrentPosition#AskCurrentPosition	我現在位置在哪裡
$$Stock#AskStockTrendReason	另外請問股票中鋼構收盤大漲
$$Railway#Order	台鐵訂票樹林車站至花蓮莒光一張
$$AskTwDate#AskTWDate	今年的端午節是哪一天
$$Stock#AskStockInfoByName	泰金寶今天的股價多少
$$Movie#AskTheaters	名偵探柯南放映戲院
$$Poi#GoToAddr	台南市中西區環河街在哪裡
$$Freeway#ExceptionPlaceAsk	台東到鳳山
$$Gold#AskGold	黃金多少錢
$$Railway#Search	現在有沒有火車從宜蘭開到台北
$$Lottery#AskLottery	威力彩開獎日期
$$Exchange#AExchangeB	五美金換台幣
$$Stock#AskStockInfoByName	幫我查台塑股票
$$Movie#AskMovies	台南市大遠百威秀影城電影的放映時間表
$$Stock#AskStockTrendReason	買股票哪一隻會上漲
$$Stock#AskMarket	匯率股票
$$Stock#AskMyStock	天氣自選股
$$Movie#AskMovies	信義威秀有上映星際重生動畫版嗎
$$Weather#LocalAirPollution	今天空氣品質好嗎
$$Freeway#Freeway	國道六號全線暢通嗎
$$Stock#AskStockTrendReason	華亞科會漲嗎的
$$Exchange#AExchangeB	一台灣多少日幣
$$THSRC#Search	高鐵時刻表
$$Poi#PoiLocationNearBy	圓山飯店在哪裡
$$Weather#SpotWeather	日月潭天氣怎麼樣
$$Stock#AskStockTrendReason	來自股票會漲嗎
$$Weather#SpotAirPollution	阿里山要不要戴口罩
$$Railway#Search	明天我要查苗栗到台中的火車時刻
$$Gold#AskGold	黃金賣多少
$$Movie#AskDateHotMovie	最近熱門電影
$$Freeway#FreewayAtoB	台北到高雄車多嗎
$$Exchange#AExchangeB	五萬港幣換算台幣
$$Freeway#GasolinePrice	上周油價
$$Freeway#FreewayJunctionRule	林邊交流道有塞車嗎
$$Weather#WorldWeather	瀋陽天氣
$$AskTwTime#AskTWTime	現在幾點啊哈哈
$$Gold#AskGold	黃金牌價多少
$$AskCurrentPosition#AskCurrentPosition	救命現在在哪裡
$$Movie#AskMovies	信義威秀有上映星際重生嗎
$$Stock#AskStocksByCategory	創意電子股價
$$Exchange#AExchangeB	兩千五百元日幣換算成台幣
$$Poi#TaiwanAreaPoi	中部地區有哪些景點可以玩
$$Weather#LocalWeather	台中市現在氣溫幾度
$$Stock#AskStockTrendReason	那明天股票會漲嗎
$$AskTwTime#AskTWTime	請問現在幾點
$$Stock#AskListedExponent	目前加權股價
$$Stock#AskStockHistory	FB摩台歷史了
$$Movie#AskDateHotMovie	熱門電影有什麼可以看
$$Gold#AskGold	今天的黃金價格
$$Movie#AskMovieDetail	飢餓遊戲評價好嗎
$$Exchange#ExchangeRate	台幣兌美元
$$Movie#AskTheaters	我想要看食人煉獄
$$Stock#CanBuyItByName	2012可以買嗎F-泰福
$$Exchange#AExchangeB	兩千五百泰銖等於多少美金
$$Stock#AskStockInfoByName	F-貿聯完成
$$Poi#PoiLocationNearBy	台南市柳營區農會要怎麼走
$$Poi#PoiLocationNearBy	金山法鼓山怎麼去比較好
$$Stock#AskStocksByCategory	玩弄電器股了
$$Freeway#Freeway	福爾摩沙高速公路塞車嗎
$$UserSayNo#UserSayNo	不是比賽
$$Stock#AskMarket	於股票諮詢如何
$$Exchange#AExchangeB	三十七萬印尼盾兌台幣多少錢
$$Movie#AskTheaters	要查詢電影大尾鱸鰻二哪裡有放
$$Exchange#ExchangeRate	兌人民幣匯率
$$Freeway#GasolinePrice	現行油價高
$$Freeway#Freeway	國道中山高南下車多嗎
$$Weather#WorldWeather	昆明天氣狀況
$$Railway#Search	台鐵有沒有晚上訂票服務
$$AskTwDate#AskTWDate	過年幾號
$$Lottery#AskLottery	大樂透開獎號碼
$$Poi#PoiLocationNearBy	東吳大學城中校區靠近哪邊
$$Poi#PoiLocationNearBy	台大校園門市在哪邊
$$Weather#WorldWeather	捷克天氣
$$Freeway#GasolinePrice	目前油價
$$Stock#AskCounterExponent	貴金屬華宇今今天的價格是多少
$$Freeway#ExceptionPlaceAsk	台中到松山
$$Stock#AskMarket	我要查股票好吃
$$Movie#AskTheaters	在演小王子的劇院
$$Lottery#AskLottery	四星彩開獎會出現這碼嗎
$$Weather#SpotWeather	我要合歡山五月二十號的天氣
$$Stock#AskFutures	期貨走勢
$$Movie#AskToTheater	桃園員林電影城的地址
$$Railway#Order	新營到萬華台鐵火車票三張
$$Movie#AskCityTheaters	台南哪裡有影城
$$Railway#Search	中壢到台北火車莒光還有位置嗎
$$Freeway#FreewayJunctionRule	堤頂交流道到中壢交流道會管制嗎
$$Stock#AskStockInfoBySid	3541日股價
$$Stock#AskStockInfoByName	F-光麗今還加
$$Lottery#AskLottery	樂透彩號碼
$$Movie#AskToTheater	嘉義水上戲院怎麼去
$$Movie#AskDateNewMovie	今天有什麼新電影
$$Exchange#AExchangeB	七千台幣換歐元
$$Freeway#ExceptionPlaceAsk	二水到桃園
$$Weather#LocalAirPollution	現在的空氣品質
$$Movie#BookingMovie	我要訂日新威秀黑勢力六月八號下午四點三張
$$Movie#AskTheaters	台南那裡有LoveLive上映
$$Freeway#FreewayAtoB	鳳山到嘉義車多不多
$$Freeway#GasolinePrice	現在油價多少呢
$$Movie#AskMovies	台中大遠百華納威秀動物方城市下片了嗎
$$Stock#AskStocksByCategory	橡膠股
$$Movie#AskTheaters	我想看飢餓遊戲四元素
$$Stock#AskListedExponent	目前股票加權
$$Stock#AskMarket	今天股票是漲還是跌
$$Weather#TaiwanRegionWeather	南部天氣如何
$$AskCurrentPosition#AskCurrentPosition	那這是哪裡的地圖啊
$$Weather#LocalWeather	新莊區明天溫度
$$Movie#AskMovies	信義威秀今天有高年級實習生嗎
$$Railway#Search	查火車時刻表
$$Exchange#AExchangeB	新台幣六萬換日幣
$$Weather#SpotWeather	合歡山五月二十號的天氣
$$AskTwDate#AskTWDate	台灣今天幾月幾號
$$Stock#AskStockTrendReason	而我好股票志信的
$$Freeway#Freeway	那國道三號的管制情形
$$Weather#WorldWeather	請問明天日本天氣如何
$$Movie#AskDateHotMovie	今天什麼電影好看
$$AskTwDate#AskTWDate	民國六十八年四月六號星期幾
$$Freeway#FreewayJunctionRule	五股交流道路況
$$Gold#AskGold	現在金價
$$Stock#AskStockInfoByName	誠品生股票勝一
$$AskTwTime#AskTWTime	現在是晚上幾點
$$Railway#Search	九月三號普悠瑪號有位置嗎
$$Freeway#FreewayJunctionRule	古坑交流道路況
$$TPEMRT#TPEMRTAtoB	從七張站到台北車站怎麼走
$$Weather#LocalAirPollution	現在空氣怎麼樣
$$Stock#AskStocksByCategory	顯示電子股
$$Weather#SpotWeather	玉山的天氣
$$AskTwTime#AskTWTime	現在是幾點幾分幾秒
$$THSRC#Order	兩張高鐵票
$$Freeway#GasolinePrice	九八汽油價格
$$Exchange#ExchangeRate	今天台幣兌人民幣的匯率是多少
$$Exchange#AExchangeB	港幣六百四等於台幣多少
$$AskCurrentPosition#AskCurrentPosition	我現在位置在哪
$$Freeway#GasolinePrice	汽油漲幅
$$Gold#AskGold	黃金的價格
$$Stock#AskStockInfoBySid	我5269
$$TPEMRT#TPEMRTAtoB	請問我要從丹鳳站到台北車站要如何做
$$Stock#AskStockTrendReason	好好的股票亞太電信
$$Stock#AskMyStock	我的股票資訊網
$$Weather#SpotWeather	南投縣日月潭的天氣
$$Stock#AskStockFund	台南股票朱芯儀
$$Freeway#Freeway	國三塞車嗎
$$AskTwTime#AskTWTime	現在的時間
$$Stock#AskStockInfoByName	中壽
$$AskCurrentPosition#AskCurrentPosition	現在位置附近的地標
$$Stock#AskCounterExponent	特刊今天的國際行情
$$Freeway#GasolinePrice	現今油價
$$Freeway#ExceptionPlaceAsk	從屏東到台北
$$Poi#GoToAddr	台北市信義區基隆路二段怎麼走
$$Freeway#ExceptionPlaceAsk	田中到集集
$$Movie#AskTheaters	台南電影院裡哪裡有放大英雄天團
$$THSRC#Search	我是要查高鐵
$$Movie#AskCityTheaters	請幫我查台南的電影院
$$Freeway#ExceptionPlaceAsk	南港到礁溪
$$Movie#AskMovieDetail	名偵探柯南的電影到第幾集了
$$Freeway#FreewayAtoB	竹東到中壢的交通路況
$$Freeway#FreewayJunctionRule	目前國道一號民雄交流道狀況怎麼樣
$$Weather#LocalAirPollution	彰化的空氣品質
$$Movie#AskTheaters	台北哪裡有演LoveLive
$$THSRC#Search	查高鐵票
$$Stock#AskStockInfoBySid	2344華邦電
$$Exchange#AExchangeB	一千塊台幣可以換多少韓元
$$Movie#AskMoviesDetails	航海王劇場版的電影內容
$$Movie#AskLevelMoviesByTheater	京站威秀有限制級電影嗎
$$UserNeedInstructions#UserNeedInstructions	那你會什麼啦
$$UserNeedInstructions#UserNeedInstructions	還可以問什麼
$$Stock#CanBuyItByName	好可以買六福
$$Freeway#Freeway	國道六號北上的路況
$$Weather#TaiwanRegionWeather	明日北部天氣
$$Freeway#GasolinePrice	明天油價會漲嗎
$$Exchange#ExchangeRate	人民幣匯率好嗎
$$Weather#LocalWeather	天氣狀況台南市
$$Weather#SpotWeather	後天合歡山的氣溫
$$Stock#AskStockTrendReason	明天的股市會漲嗎
$$Weather#WorldWeather	北海道的天氣
$$Weather#SpotWeather	花蓮縣玉山現在氣溫
$$Movie#AskDateHotMovie	現在熱門電影有哪些
$$Lottery#AskLottery	你知道會開什麼號碼嗎
$$Weather#WorldWeather	布拉格的天氣
$$Stock#AskListedExponent	加權股價指數
$$Freeway#FreewayAtoB	嘉義到台北順嗎
$$Movie#AskToTheater	星橋影城在哪裡
$$Movie#AskDateHotMovie	去年大熱門電影是什麽哦
$$Freeway#FreewayJunctionRule	竹東交流道路況
$$Stock#AskMarket	股票住宿
$$Stock#AskStocksByCategory	昇陽科光電股
$$Exchange#ExchangeRate	換日幣
$$Movie#AskToTheater	請問台北的朝代電影院在哪裡
$$Movie#AskTheaters	夢想海洋上映的劇院
$$Stock#AskFutures	請問期貨
$$Freeway#FreewayJunctionRule	我想知道竹北交流道路況
$$Poi#PoiLocationNearBy	太子國中的地址
$$Stock#AskStockHistory	昇貿歷史
$$Movie#AskTheaters	請問寵物當家的電影下檔了嗎
$$Stock#AskStockTrendReason	年度台中市在哪裡F-欣厚會不會大跌的
$$Stock#AskStockInfoByName	昇陽科股票多少錢什麼
$$Freeway#GasolinePrice	今天油價
$$AskTwDate#AskTWDate	端午節是哪一天
$$Freeway#FreewayJunctionRule	汐止交流道塞車嗎
$$Movie#AskToTheater	嘉義秀泰影城怎麼去
$$Weather#TaiwanRegionWeather	北部氣溫幾度
$$AskTwTime#AskTWTime	現在標準時間
$$UserSayNo#UserSayNo	這都不是
$$AskTwDate#AskTWDate	現在是星期幾
$$AskTwDate#AskTWDate	請問今天的日期是
$$THSRC#Search	高鐵票價
$$AskTwDate#AskTWDate	那現在是幾月幾號
$$Poi#GoToAddr	榮安二村十三號在哪裡
$$Stock#AskStockInfoByName	請問台揚立大
$$Freeway#Freeway	國道六號塞車嗎
$$Stock#AskListedExponent	是股票加權指數
$$Poi#GoToAddr	我太慢了我要到台北市金龍路口怎麼走
$$Railway#Search	查詢火車車票
$$THSRC#Search	幫我查明天高鐵的時間
$$Weather#SpotWeather	恆春墾丁會下雨嗎
$$THSRC#Search	我要查高鐵
$$Weather#LocalWeather	明天天氣如何新竹
$$Lottery#AskLottery	今天晚上的樂透開獎號碼
$$AskTwTime#AskTWTime	我要查現在時間
$$Lottery#AskLottery	統一發票對獎好了
$$Movie#AskCityTheaters	台中市電影院
$$Gold#AskGold	五月黃金牌價
$$THSRC#Search	我想要查雲林到台北的高鐵
$$Stock#AskListedExponent	今天股票加權指數將到場
$$Freeway#FreewayAtoB	官田去桃園車流多嗎
$$AskCurrentPosition#AskCurrentPosition	我現在的位置
$$THSRC#Search	高鐵雲林站到板橋時刻表
$$Freeway#ExceptionPlaceAsk	五股到淡水有塞車嗎
$$Stock#AskStockTrendReason	台南大電股價
$$Weather#SpotWeather	清境農場天氣
$$Stock#AskStockTrendReason	不要抱一隻好的股票六福
$$Movie#AskDateHotMovie	最近台灣有什麼熱門電影
$$Lottery#AskLottery	我要查今天的大樂透號碼
$$Stock#AskStockInfoByName	今天神隆擬
$$Poi#GoToAddr	屏東縣內埔鄉仁和路十七之二號帶我走
$$Exchange#AExchangeB	一塊台幣是多少日圓
$$Weather#LocalAirPollution	台南市大灣空氣品質
$$Freeway#FreewayAtoB	竹南到桃園有沒有塞車
$$Exchange#ExchangeRate	美元匯率多少
$$Stock#AskListedExponent	大立光的的價格是多少收盤價是多少
$$Poi#PoiLocationNearBy	台東泰式泡菜餐廳在哪裡
$$Freeway#FreewayAtoB	現在新化到龍潭要多久
$$Exchange#AExchangeB	一千星幣換台幣
$$Weather#WorldWeather	日本輕井澤現在溫度
$$Stock#AskStockInfoBySid	2419今天的收盤價
$$Freeway#FreewayJunctionRule	民雄交流道路況
$$Stock#AskMarket	台股seven
$$Movie#AskToTheater	你知道怎麼去林園電影城嗎
$$Freeway#ExceptionPlaceAsk	新莊到台中
$$Poi#PoiLocationNearBy	大豐國小到底在哪裡
$$Exchange#AExchangeB	十台幣兌換人民幣是多少
$$Movie#AskLevelMoviesByTheater	日薪威秀普遍級電影有哪些
$$Freeway#GasolinePrice	宜蘭上星期的油價
$$TPEMRT#TPEMRTAtoB	七張站到台大醫院站要多久
$$Gold#AskGold	去年一月黃金牌價
$$Weather#LocalAirPollution	空氣好嗎
$$AskCurrentPosition#AskCurrentPosition	哈現在位置
$$Freeway#GasolinePrice	油價會調漲嗎
$$Lottery#AskLottery	我要開獎號碼
$$Freeway#FreewayJunctionRule	楊梅交流道塞車嗎
$$Movie#AskTheaters	哪裡有上映黑幫傳奇
$$Railway#Search	七點二十的普悠瑪號有沒有位置
$$Movie#AskToTheater	桃園長春國賓在哪
$$THSRC#Search	幫我查高鐵桃園到高雄
$$Freeway#FreewayAtoB	台北到台東會塞車嗎
$$Stock#AskMarket	今天的大盤指數
$$Freeway#ExceptionPlaceAsk	花蓮到鳳林
$$Stock#WantToBuyStock	似乎不是明天開盤我要買
$$Railway#Order	我要訂耶誕節的火車票
$$Stock#AskCounterExponent	今天股市收盤指數
$$Poi#PoiLocationNearBy	台灣旅館的地址是哪
$$Freeway#FreewayAtoB	新竹去宜蘭好開嗎
$$Weather#WorldWeather	雪梨的天氣如何
$$Weather#LocalAirPollution	空氣汙染指數
$$Railway#Search	六月二十一號早上太魯閣號
$$Railway#Search	你查火車新左營到路竹有什麼車
$$Freeway#Freeway	國道三號有塞車嗎
$$Freeway#Freeway	國道十號塞車了沒
$$Stock#CanBuyItByName	可以買力成得利影的
$$Railway#Search	查詢火車時刻表
$$Freeway#FreewayJunctionRule	國道一北上銅鑼交流道路況
$$Weather#LocalWeather	台北市星期三天氣
$$Gold#AskGold	這幾天的黃金牌價
$$Freeway#FreewayAtoB	宜蘭到基隆的路程多遠
$$Poi#TaiwanAreaPoi	北部景點查詢
$$Freeway#GasolinePrice	油價不要漲啊
$$Freeway#ExceptionPlaceAsk	太麻里塞車嗎
$$Movie#AskCityTheaters	鳳山附近的電影院
$$Movie#AskDateHotMovie	熱門電影有哪一些
$$Movie#AskTheaters	高雄要看逆愛要去哪裡
$$Exchange#AExchangeB	三萬元日幣是多少台幣
$$UserNeedInstructions#UserNeedInstructions	我不知道該說什麼
$$Movie#AskDateHotMovie	熱門電影
$$Weather#LocalAirPollution	台中的空氣品質
$$Freeway#GasolinePrice	現行油價
$$Lottery#AskLottery	香港開獎號碼
$$Stock#AskListedExponent	股市今年上市
$$Lottery#AskLottery	今彩五三九開獎號碼幾號阿
$$Stock#AskStocksByCategory	生技股浩鼎
$$Freeway#GasolinePrice	今天的油價是多少
$$Movie#AskDateNewMovie	最近有啥電影可看
$$Stock#AskStockTrendReason	宜蘭縣龍頭台塑股價從
$$Weather#SpotWeather	溪頭現在溫度幾度
$$Exchange#ExchangeRate	新加坡幣匯率漲幅
$$Railway#Search	於台鐵查詢斗六到台北
$$Railway#Search	台北到花蓮的車票還有嗎
$$THSRC#Order	我要從雲林到高雄的高鐵票一張
$$Movie#AskFitMoviesByTheater	秀泰給小孩看的電影有哪些
$$Movie#AskToTheater	請問台北市哈啦影城現在在哪裡
$$UserSayNo#UserSayNo	不是為了
$$Stock#AddStockToMyStock	請問聯昌選為
$$UserSayNo#UserSayNo	阿不是
$$Exchange#AExchangeB	日幣十萬換台幣
$$Lottery#AskLottery	之前發票對獎號碼
$$Freeway#FreewayAtoB	新營往台北還要多少時間
$$AskCurrentPosition#AskCurrentPosition	好吧我現在在哪裡
$$Stock#AskMarket	今年的股票
$$Exchange#AExchangeB	兩萬換日幣
$$AskTwTime#AskTWTime	現在時間如何
$$UserSayNo#UserSayNo	我不是無情
$$Freeway#Freeway	國三北上車流量
$$Stock#AddStockToMyStock	華南金加入
$$Stock#AskStockInfoBySid	1799的股價
$$Exchange#ExchangeRate	美金換台幣匯率
$$Weather#LocalAirPollution	現在的空氣如何
$$Weather#TaiwanRegionWeather	南部今天天氣
$$Stock#AskStocksByCategory	電零股
$$Stock#AskMarket	查詢股票漲跌
$$Stock#AskMarket	第一銀行的股票來
$$Weather#LocalWeather	台中本週的天氣如何
$$Weather#WorldWeather	廣東深圳天氣
$$Weather#LocalWeather	楊梅天氣
$$Railway#Search	查詢八月二十台中車站到三重的車次
$$Freeway#Freeway	明天國道三號路況怎麼樣
$$Stock#AskMarket	今天股票那些師長的
$$Railway#Order	一月十四號台北到左營自強兩張
$$Freeway#GasolinePrice	下週油價
$$UserSayNo#UserSayNo	呃那不是
$$UserNeedInstructions#UserNeedInstructions	你在講什麼
$$Railway#Search	幫我查火車到台北時間
$$Lottery#AskLottery	大樂透對獎號碼
$$Stock#AskCounterExponent	今天收盤指數
$$UserNeedInstructions#UserNeedInstructions	說什麼勒
$$Stock#AskListedExponent	股票加權值
$$Movie#AskToTheater	真善美影城的位置在哪
$$Stock#AskStocksByCategory	橡膠股的電影
$$Weather#WorldWeather	珠海市的天氣
$$Stock#AskStockInfoBySid	8028的我
$$Stock#AskStockInfoBySid	1704股票價錢多少
$$Weather#LocalAirPollution	高雄空氣品質
$$Poi#PoiLocationNearBy	台新醫院的地址
$$Freeway#GasolinePrice	這星期油價
$$Gold#AskGold	一盎司黃金多少錢
$$Freeway#FreewayJunctionRule	新市交流道路況
$$Freeway#Freeway	中山高塞車嗎
$$Weather#WorldWeather	希臘屏的氣溫
$$Stock#AskMarket	台股指數一月三十號收盤為多少
$$UserSayNo#UserSayNo	不是真的吧
$$Stock#CanBuyItByName	可以買怡華
$$UserSayNo#UserSayNo	我不是說看到
$$Stock#AskMarket	你會查股票嗎
$$Railway#Search	新營到嘉義火車幾點有
$$Stock#AskFutures	期貨COSTCO
$$Exchange#ExchangeRate	今天台幣兌換美金的匯率
$$Movie#AskMovieDetail	天菜大廚演員表
$$Freeway#FreewayAtoB	板橋到台北要多久
$$Weather#TaiwanRegionWeather	南部的天氣
$$Freeway#FreewayJunctionRule	員林交流道有沒有塞車
$$Lottery#AskLottery	三月四月統一發票號碼
$$Stock#AskCounterExponent	上櫃中壢
$$UserNeedInstructions#UserNeedInstructions	使用說明
$$Weather#SpotWeather	明天阿里山的天氣
$$AskTwTime#AskTWTime	現在幾點啦
$$Poi#PoiLocationNearBy	彰化縣火車站在哪裡
$$Exchange#ExchangeRate	我想知道日幣的換算
$$AskTwTime#AskTWTime	我現在時間
$$Movie#AskDateHotMovie	有啥麼電影好看呢
$$Weather#WorldWeather	德國慕尼黑一周天氣預報
$$AskTwDate#AskTWDate	明天是幾號啊
$$Poi#PoiLocationNearBy	南投楠仔湖怎麼去
$$Exchange#ExchangeRate	香港匯率換算台幣
$$Weather#WorldWeather	韓國的天氣
$$Stock#AskStockTrendReason	鴻海台塑四會不會漲
$$Weather#WorldWeather	韓國會下雪嗎
$$Exchange#AExchangeB	一百美金能換多少台幣
$$Weather#SpotWeather	墾丁天氣
$$Freeway#ExceptionPlaceAsk	中正交流道到蘆竹路況
$$Railway#Search	台北到花蓮台鐵票價可以列給我嘛
$$Stock#AskListedExponent	加權股價服務
$$Freeway#GasolinePrice	油價
$$Movie#AskDateHotMovie	現在的熱門電影是什麼嗎
$$Stock#AskStockTrendReason	太好了吧群創股價
$$Movie#AskTheaters	哪裡有演LoveLive
$$Exchange#AExchangeB	十萬塊台幣兌換日圓共多少錢
$$Stock#AskStockInfoByName	F-泰鼎日前
$$Stock#AskStockInfoBySid	F-鼎固2008年
$$Freeway#ExceptionPlaceAsk	高雄到台東
$$Stock#AskStocksByCategory	不搬家電器股
$$Stock#AskStockFund	股票南寮多少錢
$$AskTwTime#AskTWTime	現在是幾點
$$Weather#LocalAirPollution	新北市的空氣品質
$$Weather#SpotWeather	阿里山的天氣如何
$$Stock#AskStockInfoByName	今天台聚
$$Stock#AskMarket	股市大跌連
$$Poi#GoToAddr	導航到基隆市中正區新豐街三百二十五巷二十三號二樓
$$Gold#AskGold	現在黃金價格
$$AskTwDate#AskTWDate	今天農曆是幾號
$$Stock#AskCounterExponent	股票指數今天
$$Stock#AskMarket	今天股市行情如何
$$Stock#AskStockTrendReason	可惜明天股票會漲嗎
$$Railway#Search	查火車新左營到路竹十二點有班次嗎
$$Stock#AskStockFund	台北股市的課表
$$Poi#PoiLocationNearBy	附近店家有什麽好的
$$Movie#AskMovieDetail	暗殺教室的主題曲誰唱的
$$AskCurrentPosition#AskCurrentPosition	你知道我在哪裡
$$Weather#SpotWeather	拉拉山今天又下雪嗎
$$Weather#WorldWeather	日本會下雨下雪嗎
$$Poi#PoiAddr	帶我去台北市松山區中華北路一百六十五巷十一號附近的停車場
$$Stock#AskStockTrendReason	好股票欣興
$$Movie#AskToTheater	大遠百威秀在哪裡
$$Stock#AskStockInfoBySid	4999鑫禾股價
$$Weather#WorldWeather	英國的天氣
$$Poi#PoiLocationNearBy	興豐鄉旅行社旁邊有吃的嗎
$$Poi#GoToAddr	彰化縣和美鎮柑井里柑竹路三百三十一巷二十九弄二號要怎麼走
$$Freeway#FreewayAtoB	嘉義到新竹會塞車嗎
$$Movie#AskTheaters	復仇者聯盟三英雄內戰時刻表
$$Weather#SpotWeather	星期五在基隆港會不會下雨嗎
$$Movie#AskDateHotMovie	有播啥麼好看的電影
$$Stock#CanBuyItByName	哪裡可以買隴華良好一下
$$Exchange#ExchangeRate	港幣匯率換算
$$AskTwDate#AskTWDate	農曆七月十五國曆幾號
$$Exchange#ExchangeRate	這五天的人民幣匯率
$$Exchange#AExchangeB	一元美金兌換多少台幣
$$Freeway#ExceptionPlaceAsk	高雄到花蓮
$$Gold#AskGold	今日黃金價格多少
$$UserSayNo#UserSayNo	不是這個核心
$$THSRC#Search	今天到左營的高鐵還有票嗎
$$Stock#AskStockTrendReason	股票金寶好
$$Freeway#FreewayJunctionRule	烏山頭交流道路況
$$Freeway#Freeway	國道五號的交通狀況
$$Movie#AskMovieDetail	原力覺醒好看嗎
$$Freeway#FreewayJunctionRule	后豐交流道路況
$$Movie#AskCityTheaters	桃園附近的電影院在哪
$$Weather#SpotWeather	大雪山的溫度
$$Stock#AskStockHistory	昇貿歷史的
$$Stock#AskStockTrendReason	小姐我想請問一下漢科會漲嗎的
$$Weather#SpotWeather	大雪山會下雨嗎
$$Weather#SpotWeather	太平山有沒有下雪
$$Stock#AskStockInfoBySid	遠雄5522現在股價多少
$$Stock#AskListedExponent	今天股票加權指數
